Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,RSI,Bollinger_Upper,Bollinger_Lower,Returns,Days_Index,Trendline
2023-01-30,3276.9965366038527,3313.8387462011688,3243.9870714937924,3290.07568359375,1953798,3179.361535644531,3199.726308829399,75.68255642976536,3349.7420976467115,3008.980973642351,,0,2960.6237601666553
2023-01-31,3304.784522907401,3304.784522907401,3210.8822662402727,3218.26025390625,2820375,3187.1230590820314,3201.4914464557655,67.55589723377228,3349.127285637143,3025.11883252692,-0.021827895949510845,1,2963.643419430738
2023-02-01,3222.3803881093377,3276.0388185982238,3214.714898039497,3265.834228515625,2205161,3194.920068359375,3207.6193304614662,68.22028067367799,3356.283186132876,3033.556950585874,0.01478251317668633,2,2966.6630786948213
2023-02-02,3283.704193188022,3323.948014639407,3277.092801808168,3315.70751953125,1813847,3205.055773925781,3217.9134437062075,71.53111208385815,3370.1737509592317,3039.9377968923304,0.01527122552031468,3,2969.682737958904
2023-02-03,3357.48448855579,3357.48448855579,3308.5210795248126,3336.69189453125,1804469,3216.407421875,3229.2256771181164,70.36956737386019,3385.0890331183173,3047.725810631683,0.006328777455909762,4,2972.702397222987
2023-02-06,3327.9246235850565,3327.9246235850565,3293.1426483615455,3315.276611328125,1138714,3231.3629760742188,3237.4210041857364,64.81880015834743,3376.7184290596397,3086.007523088798,-0.0064181182680438376,5,2975.72205648707
2023-02-07,3323.85233319214,3346.944716391425,3316.665936005499,3327.349853515625,1455647,3241.83193359375,3245.985656502869,61.976958561193605,3382.897560934011,3100.766306253489,0.0036416998045492033,6,2978.7417157511527
2023-02-08,3332.6195999697798,3391.8832767966505,3332.6195999697798,3372.911376953125,1986946,3256.1544189453125,3258.073820355274,65.16323534302941,3388.7097961995423,3123.5990416910827,0.013693036633752431,7,2981.761375015236
2023-02-09,3368.0247366775698,3399.2617026304442,3358.7303766515556,3392.7939453125,1655427,3269.4847045898437,3270.9043084464383,69.37739615273452,3400.6231436167072,3138.34626556298,0.005894779357451085,8,2984.7810342793186
2023-02-10,3372.8153774326156,3394.2309322798087,3361.460777546514,3389.631591796875,1187821,3282.3915405273438,3282.211668765528,70.46813136090287,3406.995740019253,3157.7873410354346,-0.0009320794503285823,9,2987.800693543402
2023-02-13,3400.602644646524,3400.602644646524,3328.163678169945,3336.787353515625,1087939,3290.7684692382813,3287.4093530274417,57.85790940224991,3405.4796786034394,3176.0572598731233,-0.015589965118668503,10,2990.8203528074846
2023-02-14,3358.442821808249,3377.462912531737,3348.86095926386,3353.747802734375,1579818,3298.7238159179688,3293.727300618578,57.49175269021172,3407.2680319996903,3190.1795998362472,0.005082867867165941,11,2993.8400120715673
2023-02-15,3341.195117783734,3378.5643777761534,3315.4677259853174,3373.43798828125,1429449,3305.538916015625,3301.3187946816893,60.33423459801992,3414.9141826552273,3196.163649376023,0.005871099052475293,12,2996.8596713356505
2023-02-16,3379.714276580616,3425.5156231677274,3379.5226861293913,3409.2744140625,1618931,3313.5900756835936,3311.6002822417668,66.03054092638624,3428.762036457251,3198.4181149099363,0.010623116804203692,13,2999.8793305997333
2023-02-17,3378.7078263523026,3390.924699139633,3344.069492375203,3354.753173828125,1061369,3319.724816894531,3315.7100814404675,56.84860574042104,3429.5582169558043,3209.891416833258,-0.015992036314086966,14,3002.8989898638165
2023-02-20,3355.56844621958,3374.732172354472,3329.7453720392537,3341.483154296875,1296082,3325.675158691406,3318.164659807744,64.8946147303883,3425.789891117992,3225.5604262648203,-0.003955587443742581,15,3005.9186491278992
2023-02-21,3347.9026915318927,3362.179572802701,3300.7120196492524,3306.70068359375,1139541,3327.404675292969,3317.0728525492686,55.09737726663958,3424.7808594784533,3230.0284911074846,-0.010409291053404712,16,3008.938308391982
2023-02-22,3272.157961055376,3302.867875966186,3253.042192893879,3259.318359375,1218430,3325.7398071289062,3311.5724246279096,42.92245558340637,3426.693277797999,3224.7863364598134,-0.014329184511267745,17,3011.957967656065
2023-02-23,3277.955046315417,3308.041999937605,3265.498625502175,3271.05615234375,1441570,3324.9756591796877,3307.713732029418,41.5661335294221,3427.405428927142,3222.5458894322333,0.00360130299483874,18,3014.977626920148
2023-02-24,3279.3924580078046,3290.363643842021,3240.873417340068,3258.264404296875,977592,3324.467822265625,3303.004272245367,42.50818407791011,3428.1709861348663,3220.7646583963833,-0.003910586505129099,19,3017.997286184231
2023-02-27,3248.251147593165,3248.251147593165,3177.3453703300693,3192.53271484375,1128022,3319.590673828125,3292.483171540451,34.47361776619118,3438.206787283697,3200.9745603725532,-0.02017383529907535,20,3021.016945448314
2023-02-28,3189.323159020487,3250.1679902050446,3161.9189367566064,3174.32763671875,4116217,3317.39404296875,3281.2302634621938,25.59188403640036,3445.1837208895618,3189.6043650479382,-0.005702393601279332,21,3024.0366047123966
2023-03-01,3184.052393860985,3247.29267613448,3176.386905100561,3244.130615234375,1669307,3316.3088623046874,3277.696963630973,33.724857955836285,3446.2918745593047,3186.32585005007,0.021989846828722293,22,3027.05626397648
2023-03-02,3220.463939375474,3228.991703303475,3179.261931225178,3182.567626953125,1556538,3309.6518676757814,3268.637026804511,29.9013711355353,3452.7411415212187,3166.562593830344,-0.018976729232834,23,3030.0759232405626
2023-03-03,3213.756700307668,3217.589445328905,3191.8143286339596,3202.402099609375,1043190,3302.9373779296875,3262.3289385002126,36.062797700131966,3453.111822894703,3152.762932964672,0.006232223468960019,24,3033.095582504646
2023-03-06,3221.32621137406,3262.576175596461,3218.5475648641404,3230.8603515625,1334132,3298.7165649414064,3259.331930220431,37.55211277776377,3452.140823248438,3145.2923066343747,0.00888653300489528,25,3036.1152417687285
2023-03-08,3223.3387406623624,3254.0007025235977,3191.574958119621,3248.634765625,1844590,3294.780810546875,3258.313152639914,37.30879804565113,3449.147961798388,3140.4136592953614,0.005501449189502683,26,3039.1349010328113
2023-03-09,3243.460550311983,3243.460550311983,3191.574856942648,3197.323974609375,1648500,3286.0014404296876,3252.504659494148,29.104442047162905,3441.6262830224177,3130.3765978369574,-0.015794570555780374,27,3042.1545602968945
2023-03-10,3174.3752405794844,3197.7071701228456,3152.432868291007,3191.718505859375,1024404,3275.9476684570313,3246.7155020051223,32.21118447901273,3428.4729045305126,3123.42243238355,-0.0017531750909555166,28,3045.1742195609772
2023-03-13,3193.634939853232,3228.8962425012387,3135.1855755174847,3144.719482421875,1901233,3263.7020629882813,3237.0015953781462,30.00285835085066,3417.1202782004743,3110.2838477760884,-0.014725303422347236,29,3048.19387882506
2023-03-14,3142.850563487613,3166.230211911423,3075.2025279079708,3080.5205078125,2670334,3250.888720703125,3222.0986346576083,28.310134957328913,3420.552068020886,3081.2253733853636,-0.020414849390614886,30,3051.213538089143
2023-03-15,3114.105255758854,3124.0225768385294,3058.5304542714653,3065.141845703125,1780522,3236.4584228515623,3207.150369042896,30.161467580520522,3417.966192819408,3054.9506528837164,-0.004992228446580094,31,3054.233197353226
2023-03-16,3073.8612802933676,3085.1679240584376,3039.3665776466837,3051.822998046875,1901060,3220.3776733398436,3192.357286090894,27.67362148792631,3407.6821616127904,3033.0731850668967,-0.00434526306667371,32,3057.252856617309
2023-03-17,3018.7657616526217,3086.7010727777847,3012.5375510667645,3046.361572265625,6739966,3202.23203125,3178.4529323932493,28.093055938358475,3382.675025335772,3021.7890371642284,-0.0017895617749604797,33,3060.272515881392
2023-03-20,3037.1147649777254,3037.1147649777254,2965.6342155296784,3011.86669921875,2289468,3185.0877075195312,3162.587576852821,30.032767493265183,3369.62477042193,3000.5506446171325,-0.011323302316087358,34,3063.2921751454746
2023-03-21,3011.866646847145,3024.7542040981293,2967.9337172062005,2976.22216796875,1815297,3166.824658203125,3144.838490292433,28.91802910696248,3358.3562438679232,2975.293072538327,-0.011834697484867429,35,3066.311834409558
2023-03-22,2999.170520564124,3012.0580771298146,2976.222009708673,2999.88916015625,1123939,3151.48408203125,3131.033792184225,21.1782093499624,3344.9816119721927,2957.9865520903077,0.007952024698361981,36,3069.3314936736406
2023-03-23,2984.654266063977,3014.789410868267,2971.3355707194073,2993.99658203125,1372218,3138.2179931640626,3117.9826293125134,24.381670446683188,3336.8980829949664,2939.5379033331587,-0.001964265281285571,37,3072.351152937724
2023-03-24,3017.2326602410512,3037.4504841659486,2976.1265627190655,2990.020263671875,1329577,3124.1661987304688,3105.795737346738,19.84764310581241,3323.0409161882517,2925.291481272686,-0.0013280971605776903,38,3075.3708122018065
2023-03-27,3003.9140363537526,3020.9218430986584,2976.1266337846114,2991.7451171875,1524217,3110.840234375,3094.933773522049,13.263652690028906,3307.587127877875,2914.093340872125,0.0005768701759589767,39,3078.3904714658893
2023-03-28,2996.2485101537086,3017.8556576449664,2980.1029776949676,2985.612548828125,1303530,3100.4942260742187,3084.522228313104,8.091576684620293,3300.8816821352957,2900.1067700131416,-0.0020498298214455257,40,3081.4101307299725
2023-03-29,2998.16468475299,3018.2865953889163,2974.3059414289796,3007.650634765625,1740616,3092.1603759765626,3077.2011241657247,16.669383790610993,3293.4804292916033,2890.840322661522,0.007381428627150521,41,3084.429789994055
2023-03-31,3056.5660976116405,3078.6523368551298,3020.202977207398,3071.84912109375,2382581,3083.5463012695313,3076.6914095874413,32.532756529070866,3271.806997427997,2895.2856051110657,0.02134506102073508,42,3087.4494492581384
2023-04-03,3090.1024993790315,3090.1024993790315,3041.0434133529666,3066.19580078125,1521830,3077.7277099609373,3075.6918277963755,36.98993522332058,3260.206907328494,2895.248512593381,-0.0018403639272774885,43,3090.469108522221
2023-04-05,3052.302228161837,3127.8553057844865,3052.302228161837,3104.331787109375,2655065,3072.8241943359376,3078.4194429690424,54.318056845641564,3246.242949570396,2899.4054391014793,0.012437557418351508,44,3093.488767786304
2023-04-06,3090.1502764519096,3121.1476914025166,3080.568415129578,3086.030029296875,1703464,3065.5826782226563,3079.1442607145505,53.74823010710481,3222.5285174507335,2908.636838994579,-0.005895554685390714,45,3096.508427050387
2023-04-10,3085.3596357446304,3135.1853193032393,3080.5687046332255,3126.94482421875,2203187,3059.498181152344,3083.696695333998,62.26532572777027,3194.459233864983,2924.5371284397047,0.013258067657623274,46,3099.52808631447
